date,tsla_goldstein,tsla_event_count,tsla_article_weighted_tone,ev_goldstein,ev_event_count,ev_article_weighted_tone,macro_goldstein,macro_event_count,macro_article_weighted_tone,finbert ev_sentiment_label,finbert macro_sentiment_label,finbert tsla_sentiment_label,finbert ev_sentiment_score,finbert macro_sentiment_score,finbert tsla_sentiment_score,Close,High,Low,Open,Volume,Daily Return,Daily Volatility
2022-01-12,2.902898550724638,69,-0.4676055151537809,2.3913043478260874,23,-0.9381318309944848,1.9463768115942028,69,-1.2401176476402205,neutral,neutral,neutral,0.903517484664917,0.9365426898002625,0.907257318496704,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000.0,0.0392897489318417,0.0364870616531377
2022-01-13,2.9658536585365853,41,-0.7700907864363818,2.2842105263157895,19,-1.2143003694981644,-0.1625,40,0.2151633109515988,neutral,neutral,neutral,0.6614682674407959,0.855350911617279,0.7231982946395874,343.85333251953125,371.8666687011719,342.17999267578125,369.69000244140625,97209900.0,-0.0674910733143576,0.0411025484005073
2022-01-14,1.5510204081632653,49,0.0530620425803491,4.081818181818181,22,0.263756019988671,0.884375,32,0.5677952727325081,neutral,neutral,neutral,0.8744831085205078,0.911732256412506,0.6914297342300415,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300.0,0.017497758575059,0.0385997712268578
2022-01-18,-0.9142857142857144,28,-3.5621259965788834,2.8666666666666663,12,-0.3098712017681713,1.9625,40,0.7231192670149738,neutral,negative,neutral,0.9305775761604308,0.8631992340087891,0.854896605014801,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400.0,-0.0181972412325309,0.0383748928583186
2022-01-19,-2.390909090909091,22,-5.046624060989614,3.850000000000001,8,-0.3304802549899482,2.8062500000000004,16,0.0500719755414454,neutral,neutral,neutral,0.9294785261154176,0.8212950825691223,0.7957662343978882,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500.0,-0.0338278969185718,0.0381581566181579
2022-01-20,-0.7899999999999998,50,-3.336813054119432,0.6555555555555554,27,0.4450650099872873,2.3433333333333337,30,-0.1217398374719402,neutral,positive,negative,0.9263904094696044,0.9270647168159484,0.8251043558120728,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600.0,0.0006227038828787,0.0352733128508617
2022-01-21,0.1714285714285714,21,-3.2502202547608485,1.21304347826087,23,0.2130350563951641,2.136,25,-0.5134625680039689,neutral,neutral,neutral,0.543807327747345,0.9266794323921204,0.873666524887085,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000.0,-0.052566067125072,0.0382217654673242
2022-01-24,-0.4181818181818179,11,-2.9339930624428177,1.75,8,-0.0831542663908254,1.4391304347826086,23,-0.7926375884967917,neutral,negative,negative,0.5139603614807129,0.8137593865394592,0.8908221125602722,310.0,311.1700134277344,283.8233337402344,301.586669921875,151565700.0,-0.0147261298721956,0.0295861222721952
2022-01-25,0.6138888888888887,36,-0.8211944275534772,2.6038461538461535,26,1.0110944438155665,-1.0235294117647058,17,-2.0745015509088285,neutral,positive,neutral,0.6938266158103943,0.6858927607536316,0.7410351634025574,306.1333312988281,317.086669921875,301.07000732421875,304.73333740234375,86595900.0,-0.0124731248424899,0.0226267405845011
2022-01-26,2.7823529411764705,51,-1.3633553819432018,2.222222222222222,27,0.1666819614927592,0.1909090909090908,11,-0.4493037144425572,neutral,positive,neutral,0.9371978640556335,0.5150154829025269,0.786855161190033,312.4700012207031,329.2300109863281,302.0,317.4766540527344,104867400.0,0.0206990525827113,0.0234399957324497
2022-01-27,1.6186046511627907,43,0.7726732120662647,0.7055555555555557,18,1.7582626195371376,1.0181818181818183,11,-1.3730827472978735,neutral,neutral,neutral,0.7536636590957642,0.4751016795635223,0.867426335811615,276.3666687011719,311.7966613769531,276.3333435058594,311.1199951171875,147109500.0,-0.1155417556197044,0.0445144459268305
2022-01-28,1.4395833333333337,48,-1.0965390718520147,-0.2000000000000001,13,0.9347250526353196,2.225714285714286,35,-1.9245920818913156,neutral,negative,neutral,0.7613794207572937,0.5712985396385193,0.8891510963439941,282.1166687011719,285.8333435058594,264.0033264160156,277.1866760253906,134789100.0,0.0208056927668702,0.0482963802167329
2022-01-31,0.6531249999999998,32,-0.6249957688625929,0.2999999999999999,20,-0.3696063436586598,-0.4071428571428573,14,1.237417640487415,positive,neutral,negative,0.7443832755088806,0.8558429479598999,0.9660586714744568,312.239990234375,312.663330078125,287.3500061035156,290.9033203125,104436000.0,0.1067761138393095,0.0688380575024896
2022-02-01,0.9565789473684212,76,-1.1243581185520382,1.5280000000000002,25,-0.6740392849185505,1.2933333333333332,30,-2.00301664865785,neutral,neutral,neutral,0.9166838526725768,0.8185904026031494,0.5634812712669373,310.4166564941406,314.5666809082031,301.6666564941406,311.7366638183594,73138200.0,-0.0058395266373975,0.0658519657942454
2022-02-02,1.3624999999999998,56,-1.5082124924515758,3.4551724137931035,29,0.1507068426303954,-0.1576923076923076,26,-2.0882972606963146,neutral,neutral,neutral,0.7460788488388062,0.900950014591217,0.8758460283279419,301.88665771484375,310.5,296.4700012207031,309.3933410644531,66792900.0,-0.0274791915989143,0.0664991342664877
2022-02-03,0.0484375000000001,64,-2.1035855597219895,2.317857142857143,28,-0.1026734162236893,1.5730158730158732,63,-0.5336794690519032,neutral,positive,neutral,0.910687267780304,0.5478284358978271,0.8450661301612854,297.0466613769531,312.3333435058594,293.50665283203125,294.0,78855600.0,-0.0160324950248791,0.0666072908632722
2022-02-04,0.9833333333333334,12,-1.946500167984542,2.022222222222222,18,-0.4250804115198952,-0.0916666666666666,24,-2.3815610099291473,neutral,negative,negative,0.8874779939651489,0.833359956741333,0.8920600414276123,307.7733459472656,312.1666564941406,293.72332763671875,299.0733337402344,73625400.0,0.0361111096842132,0.0677421164898269
2022-02-07,1.7363636363636363,55,-3.3754590348030606,1.4444444444444444,9,-0.3947519590343876,-0.6444444444444445,36,-1.9050953133068809,neutral,neutral,neutral,0.7333453893661499,0.907247006893158,0.7258498668670654,302.4466552734375,315.92333984375,300.9033203125,307.92999267578125,60994500.0,-0.0173071864213375,0.0467951450314911
2022-02-08,-0.5342105263157896,76,-3.130083711915763,0.0374999999999997,16,0.2518037265096275,1.861702127659574,47,-0.4737430913802221,neutral,neutral,neutral,0.9435898065567015,0.7140474915504456,0.817147970199585,307.3333435058594,308.7633361816406,298.26666259765625,301.84332275390625,50729100.0,0.0161571905234128,0.0467130966084848
2022-02-09,-0.1204081632653061,98,-2.8881492642320596,3.57,20,0.4589172181882724,-0.7,61,-2.7643483253946592,neutral,neutral,negative,0.7498810887336731,0.9201603531837464,0.905219554901123,310.6666564941406,315.42333984375,306.6666564941406,311.6666564941406,52259400.0,0.010845920427172,0.022459935518969
2022-02-10,0.1937062937062936,143,-6.282206526779707,2.45,26,-0.2818544604516315,3.1625,48,-1.7513903058388385,neutral,neutral,negative,0.6586204767227173,0.8620060086250305,0.9050788283348083,301.51666259765625,314.60333251953125,298.8999938964844,302.7900085449219,66126900.0,-0.0294527710174682,0.0250216290486268
2022-02-11,-0.4218045112781954,133,-5.831031802672999,2.907692307692308,39,-0.6583463184375501,0.6272727272727271,22,-2.8240545762760267,neutral,negative,negative,0.7730465531349182,0.9682656526565552,0.5459293723106384,286.6666564941406,305.32000732421875,283.5666809082031,303.2099914550781,79645800.0,-0.0492510296962641,0.029412015422396
2022-02-14,-1.5629629629629629,27,-2.960861426237692,3.0800000000000005,10,0.6049314089660275,3.0418604651162786,43,-0.6528318970974523,neutral,neutral,negative,0.6738414764404297,0.6423845887184143,0.7324842810630798,291.9200134277344,299.6266784667969,284.3833312988281,287.19000244140625,67756500.0,0.018325664372135,0.0304982741559235
2022-02-15,3.1500000000000004,88,-0.4273935302805479,2.74,40,0.1417970942272377,0.696551724137931,29,-1.1161954355090298,neutral,negative,neutral,0.8458064794540405,0.4801822304725647,0.9243663549423218,307.4766540527344,307.6666564941406,297.7933349609375,300.0,57286200.0,0.0532907642827684,0.0345111590615221
2022-02-16,1.6637931034482758,58,-2.627939766781341,1.9411764705882355,17,1.2388245768188215,1.106666666666667,45,-0.7845603514261048,neutral,neutral,neutral,0.5037968754768372,0.7942792773246765,0.9192715883255004,307.7966613769531,308.80999755859375,300.4033203125,304.6833190917969,51294300.0,0.0010407532409399,0.0336300904917183
2022-02-17,-0.2417475728155339,103,-3.567741979750081,3.0064516129032253,31,0.2791291980614966,1.6894736842105262,19,-0.4219084304409697,negative,neutral,negative,0.7165096402168274,0.922617495059967,0.9084873795509338,292.1166687011719,306.1666564941406,291.3666687011719,304.4200134277344,55178400.0,-0.0509426990066609,0.0384676652424623
2022-02-18,-0.0362068965517241,116,-3.3556386645864325,2.035714285714286,28,-0.2808233142517751,0.9529411764705886,34,-1.508639734460502,neutral,negative,negative,0.5485071539878845,0.6637572646141052,0.8035708069801331,285.6600036621094,295.6233215332031,279.2033386230469,295.3333435058594,68501700.0,-0.0221030352967207,0.0379912136971542
2022-02-22,-0.4978723404255317,47,-1.2131965462113898,1.4,11,-0.4378097800915325,0.9714285714285712,7,-1.5332597887233377,neutral,neutral,neutral,0.7262092232704163,0.5727272629737854,0.545390784740448,273.84332275390625,285.57666015625,267.0333251953125,278.0433349609375,83288100.0,-0.0413662422345285,0.0391880082345497
2022-02-23,0.3439024390243903,41,-2.564992708018431,3.8431818181818183,44,0.0550168747667195,-0.3230769230769231,26,-0.8263396450110315,neutral,neutral,neutral,0.8621267676353455,0.6448168158531189,0.8428680300712585,254.67999267578125,278.4333190917969,253.52000427246097,276.80999755859375,95256900.0,-0.0699791759952694,0.042983088438357
2022-02-24,1.4,22,-0.7133220932202398,2.0206896551724136,29,0.1665449747938435,-0.8488372093023256,43,-3.3280679130202775,neutral,negative,neutral,0.634054958820343,0.5867705345153809,0.8963130116462708,266.92333984375,267.49334716796875,233.3333282470703,233.4633331298828,135322200.0,0.0480734550026278,0.0481036241685151
2022-02-25,-2.25,10,-0.2586363628940821,0.0800000000000001,20,1.5012375853465785,0.3450000000000001,20,-2.423173687626076,neutral,positive,neutral,0.5500959157943726,0.7206028699874878,0.864575982093811,269.9566650390625,273.1666564941406,260.79998779296875,269.74334716796875,76067700.0,0.0113640313248295,0.0407016546129062
2022-02-28,1.7297297297297296,37,-1.8661744353784475,4.84,5,5.341646758824476,3.783333333333333,12,0.2300471970757217,neutral,neutral,neutral,0.870608925819397,0.7060062885284424,0.936926245689392,290.1433410644531,292.28668212890625,271.57000732421875,271.6700134277344,99006900.0,0.0747774685335871,0.0537961546074525
2022-03-01,2.5512820512820515,39,-1.3703085296452024,0.604,25,-1.107258853313214,1.761904761904762,42,-1.376432635180134,neutral,negative,neutral,0.9418343901634216,0.575232744216919,0.7668816447257996,288.1233215332031,296.6266784667969,284.59332275390625,289.8933410644531,74766900.0,-0.0069621433455585,0.0502852712888996
2022-03-02,1.2051282051282053,39,-0.4413563156821446,3.021428571428571,28,1.1967977583424223,0.1352941176470589,17,-1.942786244665914,neutral,neutral,neutral,0.8315083384513855,0.6786736249923706,0.8630281686782837,293.2966613769531,295.49334716796875,281.42333984375,290.7099914550781,74643300.0,0.0179552971145164,0.0497446338852629
2022-03-03,0.9610169491525424,59,-1.4675834059995192,1.3736842105263158,19,1.6802044787680028,4.560869565217391,23,-0.8642188038568757,neutral,neutral,negative,0.7713488340377808,0.843583881855011,0.8801447749137878,279.7633361816406,295.4800109863281,277.5333251953125,292.92333984375,61623600.0,-0.0461421044882577,0.0505108036806239
2022-03-04,1.97,40,-1.0556802592502066,0.9655172413793104,29,1.4415709803154964,0.8257142857142857,35,-1.555038107344507,neutral,negative,negative,0.6976338028907776,0.951107919216156,0.9469112157821656,279.42999267578125,285.2166748046875,275.0533447265625,283.0333251953125,66999600.0,-0.0011915196265851,0.0390827283404021
2022-03-07,-0.794736842105263,19,-2.0131297869550733,3.3200000000000003,35,1.4085258134538974,0.9222222222222224,27,-3.0773356732094816,positive,neutral,negative,0.700392484664917,0.8492662906646729,0.7618279457092285,268.1933288574219,288.71331787109375,268.19000244140625,285.4333190917969,72494100.0,-0.0402128050420025,0.0404683516717082
2022-03-08,0.2448275862068964,29,-2.2184671983581943,1.547058823529412,17,0.9888597720369754,0.4727272727272725,11,0.2816731805647954,neutral,negative,negative,0.8647240996360779,0.6094783544540405,0.6595929265022278,274.79998779296875,283.3299865722656,260.72332763671875,265.1766662597656,80399100.0,0.0246339421032322,0.041316474122848
2022-03-09,-0.1292682926829268,41,-1.893008937969068,1.1793103448275868,29,-0.0677780061760006,2.3422222222222224,45,-1.4353566502582815,neutral,neutral,positive,0.8779720067977905,0.7501316070556641,0.7744261622428894,286.3233337402344,286.85333251953125,277.336669921875,279.82666015625,59184000.0,0.0419335751788576,0.0328366109906243
2022-03-10,0.0657142857142856,35,-1.3677353758460231,0.6095238095238096,21,-0.4407616445249444,0.2892857142857143,28,-2.64512373649478,neutral,negative,neutral,0.9113728404045104,0.9693102836608888,0.8574391007423401,279.4333190917969,284.8166809082031,270.1199951171875,283.8166809082031,58648500.0,-0.0240637553301487,0.0339349331205332
2022-03-11,1.1944444444444444,18,-1.2595365761228994,3.05,16,0.43680990701569,2.922222222222222,27,-1.104733841569643,positive,neutral,neutral,0.8043941259384155,0.8188278675079346,0.8864489197731018,265.1166687011719,281.26666259765625,264.5899963378906,280.0666809082031,67037100.0,-0.0512345859010529,0.0364981713978511
2022-03-14,2.491428571428571,35,-1.153137099792544,2.809090909090909,22,0.5756999863991114,0.9656250000000002,32,-1.9061734775529884,neutral,neutral,negative,0.831282913684845,0.5146473050117493,0.8349096775054932,255.4566650390625,266.8999938964844,252.01333618164065,260.2033386230469,71152200.0,-0.0364368023686874,0.0352248991130517
2022-03-15,-0.8750000000000002,12,-0.6111487361563298,3.3833333333333337,12,0.969675849972134,0.3020833333333332,48,-2.444754206434109,neutral,negative,negative,0.8357617855072021,0.7838189005851746,0.7359747290611267,267.2966613769531,268.5233459472656,252.19000244140625,258.42333984375,66841200.0,0.0463483555462533,0.04172237605977
2022-03-16,-2.5142857142857142,7,0.4400198329313629,2.8722222222222222,18,2.437731924343777,0.7600000000000002,45,-3.0390799348313218,neutral,negative,neutral,0.9089086651802064,0.9453735947608948,0.8147473931312561,280.07666015625,280.6666564941406,267.4200134277344,269.6666564941406,84028800.0,0.0478120404252786,0.0427944817306557
