date,tsla_event_tone,tsla_goldstein,tsla_event_count,tsla_article_weighted_tone,tsla_num_articles,tsla_num_sources,ev_event_tone,ev_goldstein,ev_event_count,ev_article_weighted_tone,ev_num_articles,ev_num_sources,macro_event_tone,macro_goldstein,macro_event_count,macro_article_weighted_tone,macro_num_articles,macro_num_sources,finbert ev_sentiment_label,finbert macro_sentiment_label,finbert tsla_sentiment_label,finbert ev_sentiment_score,finbert macro_sentiment_score,finbert tsla_sentiment_score,Close,High,Low,Open,Volume,Daily Return,Daily Volatility
2022-01-12,0.036547220396947,2.902898550724638,69,-0.4676055151537809,310,71,-0.7098316065952686,2.391304347826088,23,-0.9381318309944844,71.0,23.0,-0.9431007351870112,1.946376811594203,69,-1.2401176476402205,305.0,69.0,neutral,neutral,neutral,0.903517484664917,0.9365426898002625,0.907257318496704,368.739990234375,371.61334228515625,357.5299987792969,359.6166687011719,83739000.0,0.039289748931841784,0.036487061653137746
2022-01-13,-0.5607001425421534,2.965853658536586,41,-0.7700907864363823,223,46,-0.311298442477579,2.28421052631579,19,-1.2143003694981644,62.0,19.0,0.24458005813596,-0.1625,40,0.2151633109515988,219.0,40.0,neutral,neutral,neutral,0.6614682674407959,0.855350911617279,0.7231982946395874,343.85333251953125,371.8666687011719,342.17999267578125,369.6900024414063,97209900.0,-0.06749107331435766,0.04110254840050734
2022-01-14,-0.2588939106318117,1.551020408163265,49,0.0530620425803491,221,51,0.1393040333179682,4.081818181818183,22,0.263756019988671,97.0,22.0,0.5374861569661793,0.884375,32,0.5677952727325081,131.0,32.0,neutral,neutral,neutral,0.8744831085205078,0.911732256412506,0.6914297342300415,349.8699951171875,350.6666564941406,337.7933349609375,339.9599914550781,72924300.0,0.017497758575059086,0.03859977122685784
2022-01-18,-3.413181028399221,-0.9142857142857144,28,-3.562125996578883,161,30,-0.3175931865528965,2.8666666666666667,12,-0.3098712017681713,87.0,14.0,1.0880449726028547,1.9625000000000004,40,0.7231192670149736,206.0,40.0,neutral,negative,neutral,0.9305775761604308,0.8631992340087891,0.854896605014801,343.5033264160156,356.92999267578125,338.6866760253906,342.2033386230469,66743400.0,-0.01819724123253097,0.03837489285831859
2022-01-19,-4.362108726456071,-2.390909090909091,22,-5.046624060989615,120,22,-0.8511025937172036,3.85,8,-0.3304802549899482,55.0,8.0,0.1630812142321068,2.80625,16,0.0500719755414452,88.0,17.0,neutral,neutral,neutral,0.9294785261154176,0.8212950825691223,0.7957662343978882,331.8833312988281,351.5566711425781,331.6666564941406,347.2366638183594,75442500.0,-0.0338278969185718,0.038158156618157954
2022-01-20,-3.71284385920742,-0.7899999999999998,50,-3.336813054119431,261,50,0.7163451870224987,0.6555555555555557,27,0.4450650099872874,137.0,27.0,-0.0778866466821163,2.3433333333333337,30,-0.1217398374719402,131.0,35.0,neutral,positive,negative,0.9263904094696044,0.9270647168159484,0.8251043558120728,332.0899963378906,347.2200012207031,331.3333435058594,336.57666015625,70488600.0,0.0006227038828787723,0.03527331285086173
2022-01-21,-3.622230474439296,0.1714285714285714,21,-3.250220254760849,81,22,-0.2879117865809965,1.2130434782608692,23,0.2130350563951641,104.0,23.0,-0.4396092019396868,2.136,25,-0.513462568003969,165.0,25.0,neutral,neutral,neutral,0.543807327747345,0.9266794323921204,0.873666524887085,314.6333312988281,334.8500061035156,313.5,332.11334228515625,103416000.0,-0.05256606712507206,0.038221765467324274
2022-01-24,-1.7893099954058913,-0.4181818181818181,11,-2.9339930624428177,126,14,-0.288100182534765,1.7500000000000004,8,-0.0831542663908255,62.0,8.0,-1.2112963794323073,1.4391304347826088,23,-0.792637588496792,126.0,23.0,neutral,negative,negative,0.5139603614807129,0.8137593865394592,0.8908221125602722,310.0,311.1700134277344,283.8233337402344,301.586669921875,151565700.0,-0.014726129872195681,0.02958612227219529
2022-01-25,-0.6786423133794786,0.6138888888888889,36,-0.8211944275534772,195,37,0.9591662118955806,2.603846153846154,26,1.0110944438155665,137.0,27.0,-2.2217612631815227,-1.0235294117647058,17,-2.074501550908828,133.0,19.0,neutral,positive,neutral,0.6938266158103943,0.6858927607536316,0.7410351634025574,306.1333312988281,317.086669921875,301.07000732421875,304.7333374023437,86595900.0,-0.012473124842489969,0.022626740584501096
2022-01-26,-1.2186459952340318,2.782352941176471,51,-1.3633553819432016,206,51,0.1063728059517885,2.2222222222222223,27,0.1666819614927592,116.0,27.0,-0.7636759337111964,0.1909090909090908,11,-0.4493037144425571,82.0,11.0,neutral,positive,neutral,0.9371978640556335,0.5150154829025269,0.786855161190033,312.4700012207031,329.2300109863281,302.0,317.4766540527344,104867400.0,0.02069905258271132,0.023439995732449783
2022-01-27,0.9062214447457098,1.618604651162791,43,0.7726732120662648,221,45,1.5417009973670242,0.7055555555555559,18,1.7582626195371378,92.0,18.0,-0.9654389749848936,1.0181818181818183,11,-1.3730827472978735,68.0,11.0,neutral,neutral,neutral,0.7536636590957642,0.4751016795635223,0.867426335811615,276.3666687011719,311.7966613769531,276.3333435058594,311.1199951171875,147109500.0,-0.11554175561970448,0.044514445926830584
2022-01-28,-1.0773589783906568,1.4395833333333334,48,-1.0965390718520147,193,48,2.498005194978757,-0.2000000000000001,13,0.9347250526353196,82.0,13.0,-2.0577318660014035,2.225714285714285,35,-1.924592081891315,203.0,39.0,neutral,negative,neutral,0.7613794207572937,0.5712985396385193,0.8891510963439941,282.1166687011719,285.8333435058594,264.0033264160156,277.1866760253906,134789100.0,0.020805692766870276,0.04829638021673298
2022-01-31,-0.2387043874488292,0.6531250000000001,32,-0.6249957688625929,144,32,-0.3417935479773682,0.2999999999999999,20,-0.3696063436586597,109.0,20.0,0.416037905087497,-0.4071428571428572,14,1.237417640487415,163.0,14.0,positive,neutral,negative,0.7443832755088806,0.8558429479598999,0.9660586714744568,312.239990234375,312.663330078125,287.3500061035156,290.9033203125,104436000.0,0.10677611383930952,0.06883805750248966
2022-02-01,-1.1054336675035792,0.9565789473684212,76,-1.1243581185520384,803,114,-0.7261860818858403,1.528,25,-0.6740392849185506,134.0,26.0,-2.3390308956232766,1.293333333333333,30,-2.00301664865785,161.0,31.0,neutral,neutral,neutral,0.9166838526725768,0.8185904026031494,0.5634812712669373,310.4166564941406,314.5666809082031,301.6666564941406,311.7366638183594,73138200.0,-0.0058395266373975074,0.06585196579424547
2022-02-02,-2.17626691611624,1.3624999999999998,56,-1.5082124924515758,413,60,0.3428975923565779,3.4551724137931035,29,0.1507068426303953,162.0,30.0,-1.5618475307867097,-0.1576923076923077,26,-2.0882972606963146,132.0,26.0,neutral,neutral,neutral,0.7460788488388062,0.900950014591217,0.8758460283279419,301.8866577148437,310.5,296.4700012207031,309.3933410644531,66792900.0,-0.027479191598914543,0.06649913426648774
2022-02-03,-2.205413006365918,0.0484375,64,-2.103585559721989,330,64,-0.0963132112322034,2.317857142857143,28,-0.1026734162236892,178.0,32.0,-0.5016750424301889,1.573015873015873,63,-0.5336794690519032,307.0,63.0,neutral,positive,neutral,0.910687267780304,0.5478284358978271,0.8450661301612854,297.0466613769531,312.3333435058594,293.50665283203125,294.0,78855600.0,-0.016032495024878912,0.0666072908632722
2022-02-04,-1.8055081126281616,0.9833333333333336,12,-1.9465001679845413,68,12,-0.2572071356840283,2.0222222222222226,18,-0.4250804115198952,113.0,18.0,-3.061292945669789,-0.0916666666666666,24,-2.381561009929146,132.0,24.0,neutral,negative,negative,0.8874779939651489,0.833359956741333,0.8920600414276123,307.7733459472656,312.1666564941406,293.72332763671875,299.0733337402344,73625400.0,0.03611110968421327,0.06774211648982699
2022-02-07,-4.405731052024131,1.7363636363636363,55,-3.375459034803061,278,55,-0.48766817274464,1.4444444444444444,9,-0.3947519590343876,52.0,9.0,-1.895789478962932,-0.6444444444444446,36,-1.9050953133068809,157.0,36.0,neutral,neutral,neutral,0.7333453893661499,0.907247006893158,0.7258498668670654,302.4466552734375,315.92333984375,300.9033203125,307.92999267578125,60994500.0,-0.01730718642133755,0.046795145031491125
2022-02-08,-3.585835712686622,-0.5342105263157895,76,-3.1300837119157627,372,76,0.4211875740096044,0.0374999999999998,16,0.2518037265096276,77.0,16.0,-0.8576103498944722,1.8617021276595744,47,-0.4737430913802219,307.0,49.0,neutral,neutral,neutral,0.9435898065567015,0.7140474915504456,0.817147970199585,307.3333435058594,308.7633361816406,298.26666259765625,301.84332275390625,50729100.0,0.0161571905234128,0.04671309660848486
2022-02-09,-2.2359047971330352,-0.1204081632653062,98,-2.88814926423206,436,99,0.6596255320875682,3.57,20,0.4589172181882724,124.0,20.0,-2.6254649411627264,-0.7000000000000001,61,-2.76434832539466,248.0,61.0,neutral,neutral,negative,0.7498810887336731,0.9201603531837464,0.905219554901123,310.6666564941406,315.42333984375,306.6666564941406,311.6666564941406,52259400.0,0.010845920427172029,0.022459935518969094
2022-02-10,-6.068170108748142,0.1937062937062937,143,-6.2822065267797065,881,162,-0.2319867996188441,2.4500000000000006,26,-0.2818544604516315,172.0,28.0,-1.0094062386863218,3.1625000000000005,48,-1.7513903058388385,178.0,48.0,neutral,neutral,negative,0.6586204767227173,0.8620060086250305,0.9050788283348083,301.51666259765625,314.60333251953125,298.8999938964844,302.7900085449219,66126900.0,-0.029452771017468238,0.0250216290486269
2022-02-11,-5.641182316439664,-0.4218045112781954,133,-5.831031802672997,777,143,-0.6962641092010254,2.907692307692308,39,-0.65834631843755,226.0,39.0,-2.540211889511634,0.6272727272727273,22,-2.8240545762760267,120.0,22.0,neutral,negative,negative,0.7730465531349182,0.9682656526565552,0.5459293723106384,286.6666564941406,305.32000732421875,283.5666809082031,303.2099914550781,79645800.0,-0.04925102969626416,0.029412015422396076
2022-02-14,-3.2312825232185847,-1.562962962962963,27,-2.960861426237692,157,27,0.1584252285007458,3.08,10,0.6049314089660276,58.0,10.0,-0.6297001980916695,3.041860465116279,43,-0.6528318970974522,165.0,43.0,neutral,neutral,negative,0.6738414764404297,0.6423845887184143,0.7324842810630798,291.9200134277344,299.6266784667969,284.3833312988281,287.19000244140625,67756500.0,0.01832566437213501,0.030498274155923547
